reaction,reaction,metabolite,global_id,flux
EX_tyr_L_m,EX_tyr_L_m,tyr_L_m,EX_tyr_L(e),0.1
EX_xyl_D_m,EX_xyl_D_m,xyl_D_m,EX_xyl_D(e),0.2928996707999999
EX_4abz_m,EX_4abz_m,4abz_m,EX_4abz(e),0.1
EX_acald_m,EX_acald_m,acald_m,EX_acald(e),1.9362495074999988
EX_ade_m,EX_ade_m,ade_m,EX_ade(e),0.1
EX_adn_m,EX_adn_m,adn_m,EX_adn(e),0.1016265505319151
EX_chsterol_m,EX_chsterol_m,chsterol_m,EX_chsterol(e),0.0004958
EX_cys_L_m,EX_cys_L_m,cys_L_m,EX_cys_L(e),0.1
EX_dpcoa_m,EX_dpcoa_m,dpcoa_m,EX_dpcoa(e),0.0001587939999999
EX_gly_m,EX_gly_m,gly_m,EX_gly(e),0.0601473355151493
EX_glyc_m,EX_glyc_m,glyc_m,EX_glyc(e),0.929658335500002
EX_gua_m,EX_gua_m,gua_m,EX_gua(e),0.1
EX_h2s_m,EX_h2s_m,h2s_m,EX_h2s(e),0.1
EX_his_L_m,EX_his_L_m,his_L_m,EX_his_L(e),0.47124903875
EX_lys_L_m,EX_lys_L_m,lys_L_m,EX_lys_L(e),0.015
EX_mqn8_m,EX_mqn8_m,mqn8_m,EX_mqn8(e),0.1
EX_nmn_m,EX_nmn_m,nmn_m,EX_nmn(e),0.1
EX_pime_m,EX_pime_m,pime_m,EX_pime(e),0.1
EX_pydam_m,EX_pydam_m,pydam_m,EX_pydam(e),0.1
EX_pydx5p_m,EX_pydx5p_m,pydx5p_m,EX_pydx5p(e),0.1
EX_pydxn_m,EX_pydxn_m,pydxn_m,EX_pydxn(e),0.1
EX_ser_L_m,EX_ser_L_m,ser_L_m,EX_ser_L(e),0.9789990840000008
EX_cellul_m,EX_cellul_m,cellul_m,EX_cellul(e),9.907443933333628e-05
EX_cytd_m,EX_cytd_m,cytd_m,EX_cytd(e),2.040602054999997
EX_glyasn_m,EX_glyasn_m,glyasn_m,EX_glyasn(e),0.0042078
EX_glypro_m,EX_glypro_m,glypro_m,EX_glypro(e),0.0018435
EX_ocdca_m,EX_ocdca_m,ocdca_m,EX_ocdca(e),0.0169283
EX_thr_L_m,EX_thr_L_m,thr_L_m,EX_thr_L(e),0.4547382185087706
EX_glc_D_m,EX_glc_D_m,glc_D_m,EX_glc_D(e),0.5384888166666635
EX_gthrd_m,EX_gthrd_m,gthrd_m,EX_gthrd(e),0.1
EX_ins_m,EX_ins_m,ins_m,EX_ins(e),0.0821844578571427
EX_pyr_m,EX_pyr_m,pyr_m,EX_pyr(e),0.1498143298888885
EX_ttdca_m,EX_ttdca_m,ttdca_m,EX_ttdca(e),0.05136051
EX_gal_m,EX_gal_m,gal_m,EX_gal(e),0.2090757260416647
EX_lcts_m,EX_lcts_m,lcts_m,EX_lcts(e),0.0677220609999995
EX_pullulan1200_m,EX_pullulan1200_m,pullulan1200_m,EX_pullulan1200(e),1.18e-05
EX_strch1_m,EX_strch1_m,strch1_m,EX_strch1(e),0.257339
EX_4hbz_m,EX_4hbz_m,4hbz_m,EX_4hbz(e),0.1
EX_no2_m,EX_no2_m,no2_m,EX_no2(e),0.8116112616867472
EX_rmn_m,EX_rmn_m,rmn_m,EX_rmn(e),0.0148985999999999
EX_melib_m,EX_melib_m,melib_m,EX_melib(e),0.0074492999999999
EX_dextran40_m,EX_dextran40_m,dextran40_m,EX_dextran40(e),0.001996924454427
EX_nh4_m,EX_nh4_m,nh4_m,EX_nh4(e),2.0856240739999974
EX_oxa_m,EX_oxa_m,oxa_m,EX_oxa(e),0.0446957
EX_succ_m,EX_succ_m,succ_m,EX_succ(e),1.8097882877777725
EX_2dmmq8_m,EX_2dmmq8_m,2dmmq8_m,EX_2dmmq8(e),0.1
