sample_id,1-68,115,1855D,AF12,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Anaerococcus,Anaerofilum,Anaerofustis,Anaerorhabdus,Anaerostipes,Anaerotruncus,Atopobium,Bacillus,Bacteroides,Barnesiella,Bilophila,Blautia,Brachyspira,Bulleidia,Butyricicoccus,Butyricimonas,Campylobacter,Catenibacterium,Clostridium,Collinsella,Coprobacillus,Coprococcus,Corynebacterium,Defluviitalea,Dehalobacterium,Desulfovibrio,Dialister,Dorea,Eggerthella,Enterococcus,Epulopiscium,Escherichia,Eubacterium,Faecalibacterium,Finegoldia,Fusobacterium,Gardnerella,Holdemania,Lachnospira,Lactobacillus,Lactococcus,Lautropia,Leptotrichia,Megamonas,Megasphaera,Methanobrevibacter,Methanomassiliicoccus,Methanosphaera,Mitsuokella,Mobiluncus,Mogibacterium,Neisseria,Odoribacter,Oscillospira,Paludibacter,Parabacteroides,Paraprevotella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Proteus,Pyramidobacter,RFN20,Raphanus,Roseburia,Rothia,Ruminococcus,Selenomonas,Shuttleworthia,Slackia,Sneathia,Streptococcus,Succinatimonas,Sutterella,Turicibacter,Varibaculum,Veillonella,[Eubacterium],[Prevotella],[Ruminococcus],rc4-4,vadinCA11
8002_8,0.0,0.0,0.0,0.0,0.0,0.0,0.03867151956323931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068471337579618,0.0,0.0,0.01683348498635123,0.0,0.0,0.0043221110100090995,0.0,0.0,0.0,0.0,0.008871701546860782,0.0,1.1178343949044587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3889899909008189,0.0,0.0,0.0,0.0,0.14058234758871702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008871701546860782,0.1091901728844404,0.0,0.02797998180163785,0.062329390354868064,0.0,0.0,0.0,0.0,0.006824385805277525,0.0,3.0948589626933574,0.0,0.0,0.0,0.0,0.0,0.0,3.4695177434030935,0.0,0.0,0.0020473157415832575,0.0,0.0,0.0,0.09235668789808917,0.005004549590536852,0.0,0.0,0.0,0.0,0.03207461328480437,0.0,0.0
8002_9,0.0,0.0,0.0005985634477254589,0.0,0.0,0.0,0.07761372705506783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829608938547486,0.0,0.002793296089385475,0.030127693535514765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037110933758978455,0.0,1.2210694333599363,0.0,0.0,0.0,0.0,0.0,0.028930566640063847,0.0,0.0,0.0,0.0,0.0,0.12210694333599362,0.0,0.003591380686352753,0.0,0.0,0.174780526735834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005387071029529129,0.7980845969672785,0.0,0.20351157222665606,0.04229848363926576,0.0,0.0,0.0,0.0,0.008180367118914605,0.0,0.011971268954509178,0.0,0.0,0.0,0.0,0.0,0.0,2.59317637669593,0.0,0.0,0.007781324820430965,0.0005985634477254589,0.0,0.0,0.26955307262569833,0.002793296089385475,0.0,0.0,0.0,0.0,0.044892258579409414,0.0,0.0
8003_1,0.0,0.0006097560975609756,0.0,0.0,0.0,0.0010162601626016261,0.01016260162601626,0.0,0.0,0.0,0.0,0.0,0.003658536585365854,0.0,0.0,0.0,2.5577235772357723,0.0,0.006910569105691057,0.0040650406504065045,0.0,0.0,0.0,0.07804878048780488,0.0,0.0,0.0,0.0,0.0,0.6073170731707317,0.0,0.0,0.0,0.0,0.0,0.014227642276422765,0.0,0.0,0.0,0.0,0.0,0.2865853658536585,0.0,0.0,0.0,0.0,0.022357723577235773,0.0,0.0,0.0,0.0,0.0,0.0,0.011178861788617886,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.02073170731707317,0.19918699186991873,0.0,0.02804878048780488,0.0,0.0,0.0,0.0,0.0,0.006910569105691057,0.0,0.9512195121951219,0.0,0.0,0.0,0.0,0.0,0.0,2.8166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.04410569105691057,0.0006097560975609756,0.0,0.0,0.03048780487804878,0.0,0.03780487804878049,0.0012195121951219512,0.0
8003_2,0.0,0.0037766387914755866,0.0,0.0,0.0,0.0,0.029268950633935798,0.0,0.0,0.0,0.0,0.0,0.0016185594820609657,0.0,0.0,0.0,1.4881305637982196,0.0,0.000674399784192069,0.011464796331265174,0.0,0.0,0.0,0.09603452926895063,0.0,0.0,0.0,0.0016185594820609657,0.0,0.43215538171027784,0.0,0.0,0.0,0.0,0.0,0.018883193957377933,0.0,0.0,0.0,0.0,0.0,0.2472349608848125,0.0,0.0,0.0,0.0,0.03830590774210952,0.0,0.0,0.0,0.0,0.0,0.0,0.0018883193957377933,0.0,0.0,0.0,0.0,0.0,0.0,0.017399514432155382,0.09981116806042621,0.0,0.03115727002967359,0.0,0.0,0.0,0.0,0.0,0.008362557323981657,0.0,4.8637712435932015,0.0,0.0,0.0,0.0,0.0,0.0,3.3014567035338547,0.0,0.0,0.0,0.0,0.0,0.0,0.09347181008902077,0.0,0.0,0.0,0.031696789857027244,0.0,0.02508767197194497,0.0010790396547073105,0.0
8003_3,0.0,0.0026397337312062436,0.0,0.0,0.0,0.0,0.023413290485481464,0.0,0.0,0.0,0.0,0.0,0.006656719843911397,0.0,0.0,0.0,1.4341788132675313,0.0,0.0004590841271663032,0.013083897624239641,0.0,0.0,0.0,0.05371284287845748,0.0,0.0,0.00573855158957879,0.0,0.0,0.45036152875014346,0.0,0.0,0.0,0.0,0.0,0.008033972225410305,0.0,0.0,0.0,0.0,0.0,0.16699185125674282,0.0,0.0,0.0,0.0,0.017445196832319522,0.0,0.0,0.0,0.0,0.0,0.0,0.005509009525995639,0.0018363365086652129,0.0,0.0,0.0,0.0,0.0,0.014116836910363825,0.1147710317915758,0.0,0.022724664294732008,0.0,0.0,0.0,0.0,0.0,0.0018363365086652129,0.0,5.978996901182142,0.0,0.0,0.0,0.0,0.0,0.0,2.3998622747618503,0.0,0.0,0.0,0.0,0.0,0.0,0.05784460002295421,0.0,0.0,0.0,0.0068862619074945485,0.0,0.016527028577986918,0.0,0.0
8003_4,0.0,0.0030814741772463945,0.0,0.0,0.0,0.0,0.09244422531739184,0.0,0.0,0.0,0.0009860717367188463,0.0,0.0,0.0,0.0,0.0,2.002588438308887,0.0,0.0032047331443362504,0.029089116233205967,0.0,0.0,0.0,0.08480216935782078,0.0,0.0,0.0,0.0,0.0,0.543572044866264,0.0,0.0,0.0,0.0,0.0,0.006779243189942068,0.0,0.0,0.0,0.0,0.0,0.18082090472081844,0.0,0.0,0.0,0.0,0.008381609762110194,0.0,0.0,0.0,0.0,0.0,0.0,0.006409466288672501,0.0,0.0,0.0,0.0,0.0,0.0,0.011463083939356588,0.1405152224824356,0.0,0.027733267595217555,0.0,0.0,0.0,0.0,0.0,0.01405152224824356,0.0,0.6729939603106126,0.0,0.0,0.0,0.0,0.0,0.0,2.2488598545544187,0.0,0.0,0.0,0.0,0.0,0.0,0.17601380500431404,0.0,0.0,0.0,0.006779243189942068,0.0,0.010353753235547887,0.0004930358683594232,0.0
8003_5,0.0,0.006063184767577917,0.0,0.0,0.0,0.00042548665035634504,0.02223167748111903,0.0,0.0,0.0,0.0,0.0,0.012551856185512179,0.0,0.0,0.0,0.732475268588448,0.0,0.001170088288479949,0.04042123178385278,0.0,0.0,0.0,0.05105839804276141,0.0,0.0,0.0,0.0009573449633017764,0.0,0.7869375598340602,0.0,0.0,0.0,0.0,0.0,0.02606105733432614,0.0,0.0,0.0,0.0,0.0,0.261355174981385,0.0,0.0,0.0,0.0,0.07148175725986597,0.0,0.0,0.0,0.0,0.0,0.0,0.0022338049143708115,0.0,0.0,0.0,0.0,0.0,0.0,0.008935219657483246,0.1255185618551218,0.0,0.019466014253802788,0.0,0.0,0.0,0.0,0.0,0.004042123178385278,0.0,4.657483246463142,0.0,0.0,0.0,0.0,0.0,0.0,3.7114136793958084,0.0,0.0,0.0,0.0,0.0,0.0,0.0774385703648548,0.0,0.0,0.0,0.02606105733432614,0.0,0.026486543984682483,0.0,0.0
8003_6,0.0,0.0,0.0,0.0,0.0,0.0,0.03152364273204904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2213660245183888,0.0,0.0010507880910683013,0.03502626970227671,0.0,0.0,0.0,0.050437828371278456,0.0,0.0,0.0,0.0,0.0,0.687215411558669,0.0,0.0,0.0,0.0,0.0,0.021015761821366025,0.0,0.0,0.0,0.0,0.0,0.1933450087565674,0.0,0.0,0.0,0.0,0.010507880910683012,0.0,0.0,0.0,0.0,0.0,0.0,0.010157618213660246,0.0,0.0,0.0,0.0,0.0,0.0,0.003152364273204904,0.03502626970227671,0.0,0.03152364273204904,0.0,0.0,0.0,0.0,0.0,0.003852889667250438,0.0,5.190893169877408,0.0,0.0,0.0,0.0,0.0,0.0,3.2024518388791594,0.0,0.0,0.0,0.0,0.0,0.0,0.0809106830122592,0.0007005253940455342,0.0,0.0,0.024518388791593695,0.0,0.060945709281961476,0.0,0.0
8003_7,0.0,0.0005393743257820927,0.0,0.0,0.0,0.0,0.02840704782452355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3586839266450916,0.0,0.0008989572096368213,0.034879539733908664,0.0,0.0,0.0,0.034519956850053934,0.0,0.0,0.0,0.0,0.0,0.5566343042071197,0.0,0.0,0.0,0.0,0.0,0.010787486515641855,0.0,0.0,0.0,0.0,0.0,0.15372168284789645,0.0,0.0,0.0,0.0,0.017979144192736426,0.0,0.0,0.0,0.0,0.0,0.0,0.0034160373966199207,0.0,0.0,0.0,0.0,0.0,0.0,0.005933117583603021,0.07551240560949299,0.0,0.017259978425026967,0.0,0.0,0.0,0.0,0.0,0.010068320747932399,0.0,7.413700107874865,0.0,0.0,0.0,0.0,0.0,0.0,1.1646889608054658,0.0,0.0,0.0,0.0,0.0,0.0,0.007551240560949298,0.0,0.0,0.0,0.02157497303128371,0.0,0.026429341963322545,0.0,0.0
8003_8,1.8601190476190478e-05,0.0003308080305466089,5.580357142857143e-05,0.0,7.374079738985972e-05,0.00021597353150743347,0.03601084639364421,0.0,0.0,0.0,0.0,0.0,0.006185269153593558,7.297139521307647e-05,0.0,0.0,1.7295311598241003,0.0003975306332429146,0.0032688790913412776,0.02450572669976052,0.0,0.0,0.0006257725490683233,0.03414276763681971,9.92063492063492e-05,0.007409205956795574,0.008561763811387731,0.006730802427036467,0.0004110425206693994,1.537202153454279,0.0,1.8601190476190478e-05,0.0,0.003629461907298881,0.015107919831051758,0.022923639996873527,0.00020192993056428416,0.0,0.0,0.0,0.0,0.48029379133592703,0.0,0.0,0.0,0.0002594156807912855,0.10205498702741012,0.00011160714285714285,1.878192927977562e-05,0.0,0.0,0.0015223682623899675,0.0,9.175494980756259e-05,0.0,6.199658770781256e-05,0.0,0.0,0.0,0.0,0.018533102188066728,0.1759485470161373,0.0,0.04646071831019513,0.0355921118956308,8.490960392935521e-05,0.00030275670116901754,0.0,0.0,0.005575098440040931,0.00035342261904761904,0.8549811309086602,0.0,0.0,0.0,0.0,0.0,0.0,1.9211197625381546,0.0,0.0,0.0008006320272092057,0.0,0.0,0.0,0.26045089477999955,0.0007300577304409637,0.0,0.0015918881178996656,0.02027890120253561,0.0,0.027909427777483842,0.0003580905637095948,0.0
8003_9,0.0,0.0,0.0,0.0,0.0,0.0,0.03977396218213432,0.0,0.0,0.0,0.0,0.0,0.006085633557922191,0.0,0.0,0.0,1.135622690719409,0.0,0.0019560965007607042,0.025646598565529234,0.0,0.0,0.0,0.008693762225603129,0.0,0.0,0.0,0.004564225168441643,0.0,1.097370136926755,0.0,0.0,0.0,0.0,0.0,0.01467072375570528,0.0,0.0,0.0,0.0,0.0,0.20799826124755488,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.00858509019778309,0.0,0.0,0.0,0.0,0.0,0.0,0.0009780482503803521,0.07607041947402737,0.0,0.0074983699195826994,0.0,0.0,0.0,0.0,0.0,0.0030428167789610956,0.0,5.41675722668985,0.0,0.0,0.0,0.0,0.0,0.0,3.7872201695283634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009780482503803522,0.0,0.04009997826559444,0.0,0.0
8006_1,0.0,0.0010657884990585434,0.0,0.0,0.0,0.00027778397141210357,0.03002893487623401,0.0,2.4134380229115716e-05,0.0,0.0,0.0,0.0077283735428890785,0.000253675860790493,2.4134380229115716e-05,0.0,1.8182098991670488,0.004935336752755132,0.0023740039890935583,0.025556322390272074,0.0,0.0,0.00019038578737002844,0.06469053799190924,0.0,0.0006998635266123105,0.0016189043361149705,0.008120849279877905,0.0011054500315434783,1.2982637146783964,0.0,0.0,0.0,0.0,0.01199484896402868,0.0323739268328132,7.432456485329554e-05,0.0,0.0,0.0,0.0,0.5162563809554238,0.0,0.0007352387565653448,8.044793409705239e-05,0.00020532807617280353,0.06629713424604586,0.0,3.375489445969666e-05,0.0,0.0,0.0002983441897469047,0.0,0.0010863948920490484,9.564801530368245e-05,4.160500210996797e-05,0.0,0.0,0.0,0.0,0.020932280064002294,0.22158755111077014,0.0,0.04578221865133809,0.022553195091333383,0.0,0.00022408610872666352,9.653752091646287e-05,0.0,0.004320309769703723,0.0,0.41055865718251017,0.0,0.0,0.0,0.0,0.0,0.0,2.046271044024053,0.0,0.0,0.0011373548489334983,0.0,0.0,0.0,0.1970417666779306,0.00030051347431788453,0.0,0.00023255513494657693,0.03577445404381789,0.0,0.051988320521537124,0.000746744469699277,0.0
