sample_id,,Akkermansia,Anaerostipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Collinsella,Coprococcus,Faecalibacterium,Gemmiger,Lachnospira,Parabacteroides,Roseburia,Ruminococcus,Succinivibrio,__
Blank_10_1,0.521327014,0.0,0.0,33.566350712,3.838862559,7.156398104,0.0,0.035545024,4.952606635,3.55450237,0.0,0.0,2.31042654,7.867298578,0.225118483,0.0,0.497630332
Blank_10_2,0.432198811,0.0,0.0,36.153430575,4.959481361,7.358184765,0.0,0.0,4.851431659,3.987034036,0.0,0.0,1.739600216,5.29443544,0.086439762,0.0,0.432198811
Blank_10_3,0.34943969199999997,0.024099289,0.0,34.811423063,3.952283408,7.241836366,0.0,0.0,4.735510302,4.024581275,0.0,0.0,2.638872153,6.362212315,0.228943246,0.0,0.63863116
Blank_1_1,3.1608522590000003,1.182392882,0.351205807,28.166705690999997,0.199016624,3.512058066,2.083821119,1.955045657,3.394989464,6.661203465,1.322875205,2.025286818,1.720908452,7.305080777,6.871926949000001,0.0,3.582299228
Blank_1_2,3.296545793,1.232621471,0.444317042,29.181596672,0.100329655,3.425541063,1.992260284,1.891930629,3.353877025,6.965744589,1.347283933,1.891930629,1.777268167,7.166403899,5.905116812999999,0.0,3.9988533759999996
Blank_1_3,3.279262458,1.248687128,0.338429222,27.471116815000002,0.151709651,3.477652001,2.193954954,2.287314739,3.676041545,6.5351849689999995,1.447076672,2.077255222,1.937215544,7.247053332,6.080056015,0.0,3.594351733
Blank_2_1,2.1513087119999996,0.119517151,1.828612406,15.298195291999999,5.605354368,4.732879168,5.198996056,1.864467551,4.015776264,10.613122983,2.031791562,1.398350663,1.4222540929999998,10.03944066,1.9361778419999998,0.0,2.49790845
Blank_2_2,2.951047333,0.023145469,0.543918528,13.331790303,5.242448790999999,4.652239324,5.601203564,1.492882768,4.94155769,10.994097906,2.083092235,1.585464645,1.377155422,11.20240713,1.909501215,0.0,2.39555607
Blank_3_1,8.271679806000002,2.716798059,0.072771377,17.283201938999998,0.642813827,6.707095209,1.200727714,0.0,3.238326258,3.869011522,3.456640388,0.375985446,1.819284415,2.63189812,10.855063675,0.0,2.462098241
Blank_3_2,7.819167339,2.756314151,0.080728866,17.46050052,0.495905893,6.481374697,0.876484835,0.0,2.940837274,3.955714451,3.436743167,0.357513551,1.82216584,2.44493138,10.575481490000001,0.0,2.375735209
Blank_3_3,7.988077496,2.742175857,0.119225037,16.512667658,0.556383507,6.696472926,1.32141083,0.0,2.771982116,4.252359662,3.328365623,0.407352211,2.533532041,1.947342275,11.147540984,0.0,2.364629906
Blank_4_1,8.155930329,0.552944429,0.19353055,4.672380426,5.640033177,6.054741498,1.880011059,4.478849876,4.75532209,11.694774675,4.340613768,0.912358308,0.7741222010000001,0.995299972,4.893558197,0.0,4.008847111
Blank_4_2,7.938056335,0.74381173,0.182904524,4.901841239,5.304231192,6.36507743,2.133886111,5.023777588,4.133642239,11.071820509,3.658090477,1.194976222,0.768199,0.756005365,4.462870382,0.0,3.353249604
Blank_4_3,8.665133729,0.798741377,0.242042842,5.058695389,4.901367542,4.973980395,1.887934164,5.095001815,4.501996853,10.746702166,3.763766187,1.16180564,0.8834563710000001,0.907660656,5.107103957,0.0,3.582234056
Blank_5_1,3.985586373,1.244813278,0.054597074,31.633544446,1.113780301,4.018344617,1.015505569,0.20746888,5.983839266,11.323433064,1.244813278,2.413190653,0.76435903,0.469534833,2.50054597,0.0,7.392443765
Blank_5_2,4.049778528,1.139000211,0.137101877,32.081839278,1.054629825,3.944315545,1.476481755,0.168740772,6.317232651,10.577937144,1.455389158,2.278000422,0.906981649,0.548407509,2.59438937,0.0,7.002742037
Blank_5_3,4.161553052,1.160325784,0.033470936,30.346982039,1.138011826,4.786343858,1.718174718,0.122726766,6.035925471,10.788798393,1.305366507,2.633046971,0.914872253,0.468593105,2.644203949,0.0,7.095838447
Blank_6_1,5.6115330960000005,0.496047124,0.23252209,10.261974887,1.2246163380000001,2.139203224,0.930088358,3.441326926,2.480235622,10.401488142000002,0.248023562,2.247713533,1.5811502100000001,2.960781274,12.292667803,12.32367075,3.844365215
Blank_6_2,5.351509689,0.585849482,0.14646237,10.500225326,1.0815682739999999,2.613789995,0.70977918,3.503830554,2.546191978,10.25236593,0.191527715,2.681388013,1.8476791350000001,3.210905813,11.570527264999999,12.87742226,3.898152321
Blank_6_3,5.169172932,0.516917293,0.031328321,11.105889724999999,1.206140351,2.302631579,0.908521303,3.305137845,2.459273183,10.338345865,0.328947368,2.866541353,1.582080201,3.367794486,11.70112782,13.01691729,3.540100251
Blank_7_1,0.716216216,0.0,0.432432432,31.608108109,12.0,4.837837838,1.175675676,4.824324324,5.121621622,9.594594594,0.0,1.27027027,1.472972973,0.0,3.0810810809999998,0.027027027,5.189189189
Blank_7_2,0.635308491,0.0,0.476481368,32.889431883,9.004276115,5.167990226,0.904092853,4.777031155,5.045815516,8.405620036999998,0.0,0.952962737,2.089187538,0.0,6.438607208,0.0,4.911423334999999
Blank_7_3,1.028353166,0.073453798,0.470104304,31.702659029000003,11.13559571,5.450271779,1.131188482,4.612898487,6.199500514,8.594094315,0.058763038,1.307477597,1.9391802550000001,0.0,2.350521522,0.0,4.892022918
Blank_8_1,8.668102902000001,5.816753263,0.354834622,10.860473957,0.266125966,4.10594348,0.405525282,2.07831707,3.523000887,6.564440502,4.334051451,1.0518312,4.448105437,0.646305918,2.800658979,0.0,5.487263971
Blank_8_2,9.219431494,6.437058204,0.150398556,10.918935178,0.300797112,3.654684915,0.526394947,2.090539931,3.624605204,6.8431343049999995,4.767634231,0.947510904,3.955482027,0.812152203,3.29372838,0.0,5.098511053999999
Blank_8_3,9.236165238,5.637828007,0.142894258,11.106780982,0.18186542,4.351779683,0.350740452,2.1174331,3.59833723,7.482462978000001,4.091971941,1.039230969,4.286827747,0.805404001,3.19563523,0.0,5.689789555
Blank_9_1,3.4594985539999996,5.822082932,0.0,18.804243009,2.62777242,4.616682739,1.301832208,0.0,5.351976856,5.06268081,0.0,1.446480231,3.363066538,0.0,7.099807136,0.0,5.074734812
